,"('num_occur', 'index', 0)","('num_occur', 'score', 0)","('num_occur', 'index', 1)","('num_occur', 'score', 1)","('num_occur', 'index', 2)","('num_occur', 'score', 2)","('num_occur', 'index', 3)","('num_occur', 'score', 3)","('num_occur', 'index', 4)","('num_occur', 'score', 4)","('percentage_of_terms', 'index', 0)","('percentage_of_terms', 'score', 0)","('percentage_of_terms', 'index', 1)","('percentage_of_terms', 'score', 1)","('percentage_of_terms', 'index', 2)","('percentage_of_terms', 'score', 2)","('percentage_of_terms', 'index', 3)","('percentage_of_terms', 'score', 3)","('percentage_of_terms', 'index', 4)","('percentage_of_terms', 'score', 4)","('td-idf', 'index', 0)","('td-idf', 'score', 0)","('td-idf', 'index', 1)","('td-idf', 'score', 1)","('td-idf', 'index', 2)","('td-idf', 'score', 2)","('td-idf', 'index', 3)","('td-idf', 'score', 3)","('td-idf', 'index', 4)","('td-idf', 'score', 4)","('word_order', 'index', 0)","('word_order', 'score', 0)","('word_order', 'index', 1)","('word_order', 'score', 1)","('word_order', 'index', 2)","('word_order', 'score', 2)",truth,"('word_order', 'index', 3)","('word_order', 'score', 3)","('word_order', 'index', 4)","('word_order', 'score', 4)"
0,183,5,40,4,569,3,710,3,342,2,1,1.0,13,0.4,14,0.4,281,0.4,293,0.4,675,0.5095658223243495,135,0.4367707048494425,223,0.3397105482162331,449,0.3397105482162331,266,0.3057394933946098,1,5,293.0,1.0,720.0,1.0,1,721.0,1.0,736.0,0.0
0,728,10,0,9,282,8,691,8,272,8,2,1.0,14,0.4,279,0.4,285,0.4,299,0.4,684,0.29388161853201494,919,0.2868680668268443,490,0.26449345667881347,709,0.26449345667881347,157,0.22041121389901122,2,7,701.0,0.0,663.0,0.0,2,681.0,0.0,695.0,0.0
0,273,21,544,10,761,8,858,7,224,6,701,1.2,3,1.0,923,0.8,18,0.6,250,0.6,552,0.36954211323937414,223,0.24728127372797265,449,0.24728127372797265,785,0.20324816228165576,314,0.1854609552959795,273,6,3.0,5.0,384.0,2.0,3,385.0,2.0,291.0,2.0
0,572,19,639,8,108,7,148,7,736,6,4,1.0,294,0.6,6,0.4,311,0.4,184,0.4,212,0.40873824949762244,366,0.40873824949762244,537,0.20662992800786684,110,0.19344078366693915,509,0.18429155741242179,4,4,6.0,0.0,279.0,0.0,4,792.0,0.0,285.0,0.0
0,510,8,408,6,18,5,23,5,621,5,5,1.0,61,1.0,0,0.4,31,0.4,32,0.4,510,0.27446283551031375,229,0.13113668026756464,208,0.12411370870503159,952,0.11104910778871246,363,0.11023150173190309,5,4,61.0,4.0,0.0,0.0,5,32.0,0.0,36.0,0.0
0,183,11,596,5,271,3,290,3,382,3,6,1.0,735,0.6,9,0.6,123,0.4,166,0.4,659,0.24078345037131432,507,0.19760547371035947,44,0.1971058584879878,424,0.1877252000248415,894,0.17878590478556333,6,6,663.0,1.0,0.0,0.0,6,384.0,0.0,387.0,0.0
0,584,7,814,5,569,4,208,3,561,3,7,1.0,640,0.6,377,0.4,701,0.4,724,0.4,549,0.26365820837225185,550,0.24168669100789753,547,0.20716002086391216,546,0.19334935280631801,548,0.19334935280631801,7,4,377.0,2.0,640.0,1.0,7,724.0,0.0,701.0,0.0
0,997,6,20,5,569,5,384,5,797,5,8,1.0,701,0.8,724,0.8,20,0.6,284,0.6,972,0.38161201272063366,983,0.3193080106437955,304,0.30902054113001826,20,0.25751711760834856,825,0.22072895795001302,8,5,716.0,2.0,257.0,1.0,8,12.0,1.0,276.0,1.0
0,118,6,336,6,374,6,691,6,798,6,9,1.0,32,0.4,33,0.4,285,0.4,322,0.4,684,0.22331565055000002,709,0.20098408549500002,526,0.18271280499545456,829,0.18271280499545456,643,0.16748673791250002,9,6,32.0,0.0,33.0,0.0,9,322.0,0.0,384.0,0.0
0,148,5,4,4,26,4,532,4,311,3,10,1.0,281,0.4,1,0.2,14,0.2,24,0.2,675,0.5095658223243495,135,0.4367707048494425,223,0.3397105482162331,449,0.3397105482162331,26,0.32002694051197667,10,4,281.0,0.0,,,10,,,,
0,273,13,795,12,295,11,408,11,519,10,11,1.0,290,0.8,323,0.8,52,0.6,83,0.4,366,0.5527519553612806,552,0.38799853805756557,295,0.3492994743495326,380,0.3302325102068166,940,0.32830645527947855,11,12,323.0,7.0,750.0,4.0,11,742.0,3.0,408.0,3.0
0,12,10,46,5,31,4,741,4,738,3,12,1.0,250,0.6,990,0.6,31,0.4,332,0.4,12,0.33559625434805507,57,0.18479572391754748,738,0.16761655751243973,119,0.16588043429203864,89,0.15561745172003996,12,6,741.0,2.0,31.0,1.0,12,6.0,0.0,521.0,0.0
0,858,7,224,6,545,6,854,6,34,5,13,1.0,721,0.6,294,0.6,374,0.6,717,0.6,552,0.36954211323937414,832,0.3511597058295662,785,0.20324816228165576,875,0.18477105661968707,971,0.18477105661968707,13,6,374.0,1.0,0.0,0.0,13,1.0,0.0,384.0,0.0
0,14,8,691,8,569,5,761,5,299,4,701,1.2,14,1.0,284,0.8,285,0.8,169,0.6,675,0.5095658223243495,135,0.4367707048494425,223,0.3397105482162331,449,0.3397105482162331,465,0.31463226321864923,14,5,282.0,1.0,284.0,1.0,14,728.0,1.0,0.0,0.0
0,196,7,746,6,924,6,963,6,462,5,15,1.0,41,0.6,772,0.4,943,0.4,35,0.4,35,0.4709420207361891,613,0.28115941536488903,845,0.224258105112471,604,0.18837680829447565,657,0.1857835171222979,15,5,35.0,2.0,41.0,1.0,15,772.0,0.0,716.0,0.0
0,742,7,51,6,553,6,766,6,152,5,16,1.0,22,1.0,294,0.8,49,0.6,146,0.6,289,0.30737278908754845,751,0.2817583899969194,287,0.2600846676894641,820,0.25424704489257965,911,0.2415071914259309,16,4,22.0,2.0,287.0,2.0,16,289.0,2.0,519.0,1.0
0,273,21,184,7,323,7,14,7,433,6,17,1.0,725,1.0,319,0.8,361,0.8,367,0.8,212,0.3769663650075851,424,0.34109447331170356,82,0.2623803640859258,641,0.23197930154312932,465,0.1995026866537475,17,5,725.0,5.0,323.0,4.0,17,367.0,4.0,286.0,3.0
0,788,5,896,5,811,5,250,5,52,5,18,1.0,777,0.6,811,0.6,0,0.4,6,0.4,212,0.3695399088996445,896,0.3508917499539978,404,0.19549683211722732,788,0.19206706313271454,775,0.1780133755864184,18,6,0.0,2.0,640.0,2.0,18,236.0,2.0,34.0,1.0
0,572,15,596,8,603,7,599,6,562,5,19,1.0,6,0.2,253,0.2,384,0.2,652,0.2,720,0.16261540206048078,731,0.11283517693992542,652,0.10808815028337475,920,0.08252124880681114,463,0.07679060652856036,19,4,,,,,19,,,,
0,997,6,797,5,341,4,347,4,745,4,20,1.0,716,0.4,288,0.2,43,0.2,82,0.2,586,0.33239586013213535,595,0.33239586013213535,304,0.30902054113001826,82,0.2556891231785657,341,0.22072895795001302,20,5,716.0,0.0,,,20,,,,
0,13,4,52,3,184,3,290,3,437,3,21,1.0,114,0.6,218,0.6,742,0.6,83,0.4,13,0.2129292893052113,121,0.1774410744210094,737,0.16926427500001798,337,0.12291810446429877,251,0.11867954913794364,21,5,384.0,0.0,392.0,0.0,21,279.0,0.0,285.0,0.0
0,477,7,124,6,180,6,520,6,859,6,22,1.0,16,0.6,644,0.6,134,0.4,752,0.4,352,0.5898067737206495,477,0.39150966876284493,982,0.3081232977941087,180,0.30183506722688197,520,0.2957983658823443,22,5,16.0,1.0,224.0,0.0,22,644.0,0.0,772.0,0.0
0,259,3,394,3,430,3,863,3,189,3,23,1.0,205,0.4,746,0.4,946,0.2,8,0.2,161,0.2797404479983259,378,0.26702497308931117,244,0.2447728919985352,751,0.2180965717428452,622,0.15395052123024366,23,4,746.0,0.0,205.0,0.0,23,,,,
0,717,9,51,6,329,6,553,6,766,6,24,1.0,25,0.6,202,0.4,345,0.4,408,0.4,675,0.5095658223243495,135,0.4367707048494425,223,0.3397105482162331,449,0.3397105482162331,266,0.3057394933946098,24,6,25.0,2.0,865.0,0.0,24,408.0,0.0,293.0,0.0
0,137,10,222,9,247,9,261,9,668,9,25,1.0,24,0.6,143,0.4,697,0.4,706,0.4,168,0.46365238823994875,647,0.46365238823994875,222,0.43543006895577796,565,0.41174643325148513,261,0.3927408465091331,25,6,24.0,3.0,480.0,0.0,25,706.0,0.0,37.0,0.0
0,728,15,984,13,802,8,521,7,803,7,26,1.0,198,0.6,82,0.4,84,0.4,98,0.4,10,0.4261942108695851,424,0.34109447331170356,450,0.3143188645779052,451,0.3143188645779052,82,0.2623803640859258,26,4,98.0,0.0,198.0,0.0,26,10.0,0.0,747.0,0.0
0,14,13,728,10,0,9,282,8,691,8,27,1.0,42,1.0,689,0.6,702,0.6,767,0.6,684,0.29388161853201494,490,0.26449345667881347,709,0.26449345667881347,157,0.22041121389901122,282,0.17781072717903426,27,4,42.0,4.0,984.0,1.0,27,384.0,0.0,273.0,0.0
0,596,15,572,13,553,11,747,8,603,7,28,1.0,694,0.6,387,0.6,3,0.4,24,0.4,763,0.42453569520489687,410,0.3247041725837907,223,0.29388161853201494,74,0.2841161510108169,903,0.2179521158439143,28,5,694.0,1.0,492.0,1.0,28,384.0,0.0,3.0,0.0
0,728,15,984,13,700,12,802,8,96,8,29,1.0,48,1.0,84,0.6,98,0.6,296,0.6,494,0.3808351739278394,26,0.3650154556388577,450,0.3143188645779052,451,0.3143188645779052,82,0.2971351357019406,29,5,296.0,4.0,48.0,4.0,29,98.0,1.0,432.0,1.0
0,700,12,96,8,494,7,387,6,525,6,30,1.0,758,0.6,47,0.4,342,0.4,387,0.4,126,0.5819934103677666,494,0.3808351739278394,465,0.3649274199521577,709,0.3649274199521577,30,0.331752199956507,30,5,758.0,2.0,387.0,0.0,30,525.0,0.0,47.0,0.0
0,46,6,31,5,990,5,585,3,963,3,31,1.0,46,0.6,724,0.4,11,0.2,36,0.2,126,0.4788745062879375,339,0.2755787543297577,31,0.17640967491224865,228,0.10314220135432502,990,0.09801524982501644,46,7,31.0,7.0,724.0,0.0,31,,,,
0,689,9,767,8,322,7,733,6,663,5,32,1.0,285,0.8,0,0.6,33,0.6,284,0.6,327,0.16425806939447102,117,0.10544962479645052,44,0.10293660831287128,733,0.09184322159690851,250,0.08539926022993767,32,6,284.0,1.0,33.0,1.0,32,711.0,1.0,0.0,0.0
0,742,5,250,4,273,4,784,4,33,3,33,1.0,285,0.8,32,0.6,284,0.6,0,0.4,870,0.10524780604934157,44,0.10293660831287128,768,0.10280284333983568,250,0.08539926022993767,457,0.08118943754254637,33,4,768.0,1.0,284.0,1.0,33,32.0,1.0,0.0,0.0
0,742,14,33,13,621,12,34,11,183,11,724,1.2,34,1.0,311,0.6,6,0.6,123,0.6,289,0.23917729824739653,507,0.19760547371035947,214,0.1879250200515258,426,0.1879250200515258,424,0.1877252000248415,34,5,0.0,0.0,384.0,0.0,34,2.0,0.0,387.0,0.0
0,322,19,166,18,779,18,963,18,985,18,35,1.0,41,0.8,701,0.8,15,0.4,283,0.4,35,0.5805815200221353,135,0.47093816179772463,221,0.17350353329389856,334,0.17350353329389856,15,0.17330791642451798,35,8,41.0,4.0,701.0,1.0,35,901.0,0.0,774.0,0.0
0,183,11,596,5,210,3,271,3,290,3,36,1.0,431,0.6,195,0.4,215,0.4,262,0.4,675,0.5095658223243495,135,0.4367707048494425,223,0.3397105482162331,449,0.3397105482162331,266,0.3057394933946098,36,5,424.0,2.0,195.0,0.0,36,262.0,0.0,711.0,0.0
0,408,5,718,4,99,4,233,4,398,4,37,0.8,46,0.4,305,0.4,701,0.4,315,0.4,565,0.41174643325148513,223,0.3548821488420188,94,0.26202045752367237,233,0.26202045752367237,37,0.23785534303892997,37,4,718.0,1.0,315.0,1.0,37,46.0,0.0,305.0,0.0
0,702,7,728,7,418,6,382,5,14,4,38,1.0,27,0.6,42,0.6,332,0.6,761,0.6,418,0.3121016012273569,820,0.286029330198772,832,0.286029330198772,917,0.27287557864936285,202,0.15048285587281038,38,4,40.0,1.0,0.0,0.0,38,32.0,0.0,322.0,0.0
0,310,7,912,5,920,5,231,4,434,4,39,1.0,285,0.4,299,0.4,53,0.2,134,0.2,899,0.4750096529455523,920,0.4118629878853477,657,0.23750482647277615,53,0.22330058462389818,128,0.2159134786116147,39,6,299.0,0.0,285.0,0.0,39,,,,
0,253,8,444,7,721,5,736,4,569,3,40,1.0,123,0.2,223,0.2,253,0.2,435,0.2,223,0.5682589478261134,253,0.30762890408631705,435,0.2378758386248847,720,0.23628400704672192,721,0.2028701070603168,40,9,,,,,40,,,,
0,196,7,746,6,924,6,963,6,462,5,41,1.0,35,0.6,31,0.4,46,0.4,182,0.4,35,0.42679839186332214,515,0.2032373294587248,657,0.1857835171222979,94,0.16889410647481629,352,0.16889410647481629,41,8,35.0,2.0,787.0,1.0,41,999.0,0.0,46.0,0.0
0,14,13,728,10,0,9,282,8,691,8,27,1.0,42,1.0,689,0.6,702,0.6,767,0.6,684,0.29388161853201494,490,0.26449345667881347,709,0.26449345667881347,157,0.22041121389901122,282,0.17781072717903426,27,4,42.0,4.0,984.0,1.0,42,384.0,0.0,273.0,0.0
0,14,13,282,8,118,6,374,6,798,6,285,1.2,713,1.2,43,1.0,691,0.8,9,0.6,684,0.6899578396567947,709,0.3816258383443767,685,0.3469325803130697,687,0.3012835565876658,490,0.26449345667881347,43,5,684.0,4.0,691.0,4.0,43,317.0,3.0,755.0,3.0
0,111,14,742,13,717,12,502,12,690,12,44,1.0,52,0.6,195,0.6,385,0.6,711,0.6,620,0.38799853805756557,875,0.38799853805756557,659,0.2525603652120105,526,0.23014777230542577,832,0.23014777230542577,44,5,903.0,2.0,722.0,2.0,44,323.0,1.0,717.0,1.0
0,184,7,323,7,14,7,433,6,253,5,45,1.0,67,0.8,759,0.8,799,0.8,824,0.8,212,0.3769663650075851,424,0.34109447331170356,82,0.2623803640859258,641,0.23197930154312932,465,0.1995026866537475,45,5,323.0,4.0,759.0,4.0,45,17.0,3.0,286.0,3.0
0,31,5,339,3,46,2,220,2,273,2,46,1.0,31,0.4,211,0.2,230,0.2,339,0.2,339,0.2755787543297577,31,0.17640967491224865,992,0.13261621553669262,804,0.0834990986712509,692,0.08051698800442052,46,9,31.0,4.0,,,46,,,,
